CPU Usage - 18.06.2022 15:52:36
|Metot Adı           |Kayıt Sayısı        |CPU Kullanımı       |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |1,49                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |1,5                 |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |1,49                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |1,5                 |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |1,5                 |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |1,5                 |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |1,5                 |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |1,5                 |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |1,49                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,74                |
|NHibernateSearch    |0                   |1,5                 |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |1,5                 |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |1,5                 |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |1,49                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |1,5                 |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,74                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |1,5                 |
|NHibernateSearch    |0                   |1,5                 |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |1,5                 |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |1,5                 |
|NHibernateSearch    |0                   |1,5                 |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |1,5                 |
|NHibernateSearch    |0                   |0,68                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |1,5                 |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |1,49                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |1,5                 |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |1,5                 |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |1,5                 |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |1,5                 |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |1,5                 |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |1,5                 |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,74                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |1,5                 |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |1,5                 |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |1,5                 |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |1,49                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0                   |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |0,75                |
|NHibernateSearch    |0                   |1,5                 |
----------------------------------------------------------------
|Ortalama Değer      |0                   |0,51                |
